thumbnailUrl,logoUrl,name,date,city,state,eventType
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/735/thumb/IMG_7083_%282%29.PNG?1695741971,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/735/thumb/LOGO1__1__%282%29.png?1695741120,The Golden Hack 5.0,Oct 7th - 8th,Waterloo,Ontario,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/723/thumb/Event_Hero_Image.jpg?1692982807,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/723/thumb/Datahackfest_icon.jpg?1692982807,Data Hackfest,Oct 13th - 15th,Everywhere,Worldwide,Digital Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/642/thumb/HackGTXBacksplash-small.jpg?1687285675,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/642/thumb/HackGTXLogo-small.jpg?1687285675,HackGT X,Oct 13th - 15th,Atlanta,Georgia,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/729/thumb/Change_the_colors___Add_your_logo___2_.png?1694198265,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/729/thumb/Change_the_colors___Add_your_logo___3_.png?1694198264,Hack the Valley,Oct 13th - 15th,Scarborough,Ontario,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/736/thumb/NSBE_HACK_LOGO.png?1694611688,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/736/thumb/Untitled_design__17_.png?1694611688,UNT NSBEHack,Oct 13th - 14th,Denton,Texas,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/637/thumb/dh_backsplash.png?1687272219,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/637/thumb/dh_logo.png?1687272218,DubHacks,Oct 14th - 15th,Seattle,Washington,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/647/thumb/backsplash__1__%281%29.png?1687367417,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/647/thumb/logo_%281%29.png?1687367416,Hack WashU,Oct 14th - 15th,St. Louis,Missouri,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/730/thumb/Oct-generic_IG.png?1694528835,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/730/thumb/icon.png?1694528832,Global Hack Week: Open Source,Oct 16th - 23rd,Everywhere,Worldwide,Digital Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/710/thumb/HH23_3x3_banner_v2.png?1692043218,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/710/thumb/logo_100.png?1690921034,HackHarvard,Oct 20th - 22nd,Cambridge,Massachusetts,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/725/thumb/Ihack-Vertical-Logo-FullColor-72DPI.png?1692984938,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/725/thumb/Ihack-Vertical-Logo-FullColor-Small.png?1692984937,I-Hack,Oct 20th - 21st,Rexburg,Idaho,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/761/thumb/event-hero-image.jpg?1696351646,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/761/thumb/Icon.png?1696351646,All In Hackathon,Oct 21st - 22nd,Everywhere,Worldwide,Digital Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/709/thumb/HD2_Backsplash_MLH-4.png?1689972265,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/709/thumb/Plain_Black_Official_HD2_Logo_100x100px.png?1689972263,Hack Dearborn,Oct 21st - 22nd,Dearborn,Michigan,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/737/thumb/Larger_Art.png?1695649130,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/737/thumb/Smaller_Logo.PNG?1695649129,HackPSU,Oct 21st - 22nd,State College,PA,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/649/thumb/mlh_backsplash_%281%29.png?1693316066,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/649/thumb/mlh_logo_%281%29.png?1693316066,HackTX 2023,Oct 21st - 22nd,Austin,Texas,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/726/thumb/Instagram_post_-_2.png?1693256238,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/726/thumb/logo_MLH_square_background-01.png?1693256237,Technica Hacks,Oct 21st - 22nd,College Park,Maryland,"Hybrid, In-Person Focus"
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/674/thumb/Hackanile_Cal_Hacks.png?1688401253,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/674/thumb/Hackanile_Cal_Hacks.png?1688401253,Cal Hacks,Oct 27th - 29th,Berkeley,California,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/738/thumb/HackNC_Logo.jpg?1694612461,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/738/thumb/HackNC_Logo.jpg?1694612459,HackNC 2023,Oct 27th - 29th,Chapel Hill,NC,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/724/thumb/social-instagram.jpg?1695915874,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/724/thumb/event-icon.jpg?1695915874,Web3Apps,Oct 27th - 29th,Everywhere,Worldwide,Digital Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/660/thumb/WhatsApp_Image_2023-08-25_at_9.28.44_AM.jpeg?1693562908,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/660/thumb/WhatsApp_Image_2023-09-01_at_3.39.27_PM.jpeg?1693563115,GreatUniHack 2023,Oct 28th - 29th,Manchester,Lancashire,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/655/thumb/20230628_185120_0000.png?1687959383,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/655/thumb/20230628_185006_0000.png?1687959383,Hack The Mountains 4.O,Oct 28th - 29th,Gurgaon,"Haryana, IN",In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/748/thumb/Datathon23_Logo_300x300.png?1695648882,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/748/thumb/Datathon23_Logo_100x100.png?1695648882,TAMU Datathon,Oct 28th - 29th,College Station,Texas,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/739/thumb/VHXBacksplash.png?1696423223,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/739/thumb/VHXLogo.png?1696423223,VandyHacks,Oct 28th - 29th,Nashville,Tennessee,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/807/thumb/BANNER.png?1698333421,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/807/thumb/LOGO.png?1698333794,REVA HACK 2023,Nov 2nd - 4th,Bengaluru,"Karnataka, IN",In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/639/thumb/DandyHacks_backsplash.png?1687276484,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/639/thumb/DandyHacks_logo.png?1687276483,DandyHacks,Nov 3rd - 5th,Rochester,New York,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/758/thumb/event-splash-2560x1440.png?1696344382,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/758/thumb/hackkstate-logo-100x100.png?1696344380,Hack K-State,Nov 3rd - 5th,Manhattan,Kansas,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/763/thumb/fountainGreen-2022.png?1696967895,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/763/thumb/fountainGreen-2022.png?1696967895,YCP Hacks,Nov 3rd - 5th,York,Pennsylvania,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/799/thumb/background.png?1696621256,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/799/thumb/background.png?1696621256,DurHack 2023,Nov 4th - 5th,Durham,County Durham,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/744/thumb/hackCBS_6.0_vector.png?1695138659,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/744/thumb/6.0.png?1695138659,hackCBS,Nov 4th - 5th,Delhi,India,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/753/thumb/HackNJIT_2_MLH_Backsplash.png?1698336062,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/753/thumb/HackNJIT2023_logo_main.png?1698336061,HackNJIT,Nov 4th - 5th,Newark,New Jersey,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/638/thumb/backsplash_2.png?1687276185,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/638/thumb/hackrpi_logo_%28100x100%29.png?1687276185,HackRPI,Nov 4th - 5th,Troy,New York,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/762/thumb/Logo_Remix__Color__1.png?1696357693,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/762/thumb/Logo_Remix__Color__1.png?1696357693,HackSC-X,Nov 4th - 5th,Los Angeles,California,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/800/thumb/background.png?1696621287,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/800/thumb/background.png?1696621287,Hack-the-Heights,Nov 4th - 5th,Newton,Massachusetts,In-Person Only
